PAID,DATE,NGB Name,SPORT,Budget
"1,387.00",09/11/2010,British Shooting,Target Shooting,Exchequer
887.00,09/11/2010,Royal Yachting Association,Sailing - Paralympic,Exchequer
"1,973.00",09/11/2010,Great Britain Wheelchair Basketball Association,Wheelchair Basketball,Exchequer
"37,522.00",09/11/2010,Uk Athletics,Athletics,Exchequer
"3,691.00",09/11/2010,Uk Athletics,Disability Athletics,Exchequer
"1,173.00",09/11/2010,Disabled Target Shooting of Great Britain,Paralympic Shooting,Exchequer
"5,076.00",09/11/2010,British Amateur Boxing Association Ltd,Boxing,Exchequer
"47,369.00",09/11/2010,Grand National Archery Society,Archery,Exchequer
"43,788.00",09/11/2010,Grand National Archery Society,Archery,Lottery
"3,326.00",09/11/2010,Grand National Archery Society,Archery,Exchequer
"10,000.00",09/11/2010,British Bobsleigh Ltd,Bobsleigh,Lottery
"6,261.00",09/11/2010,Disabled Target Shooting of Great Britain,Paralympic Shooting,Lottery
"12,550.00",09/11/2010,Disabled Target Shooting of Great Britain,Paralympic Shooting,Lottery
"120,000.00",09/11/2010,Sports Aid,,Exchequer
"37,307.00",09/11/2010,British Rowing,Rowing,Lottery
"11,479.00",09/11/2010,British Rowing,Rowing - Adaptive,Lottery
"4,894.00",09/11/2010,British Table Tennis Association for the Disabled,Disability Table Tennis,Lottery
"3,500.00",09/11/2010,British Cycling Federation,Cycling - Paralympic,Exchequer
"23,254.00",09/11/2010,Great Britain Wheelchair Basketball Association,Wheelchair Basketball,Lottery
"6,000.00",09/11/2010,British Bobsleigh Ltd,Bobsleigh,Exchequer
"58,050.00",09/11/2010,Great Britain Wheelchair Rugby,Wheelchair Rugby,Lottery
"23,480.00",09/11/2010,Great Britain Wheelchair Basketball Association,Wheelchair Basketball,Lottery
"19,643.00",09/11/2010,English Institute of Sport Company,,Exchequer
"2,100.00",09/11/2010,British Amateur Boxing Association Ltd,Boxing,Lottery
"9,598.00",09/11/2010,Great Britain Wheelchair Rugby,Wheelchair Rugby,Lottery
"48,588.00",22/11/2010,British Performance Basketball Ltd,Basketball,Lottery
"100,561.00",09/12/2010,British Swimming,Para Swimming,Lottery
"21,125.00",09/12/2010,British Equestrian Federation,Paralympic Equestrian,Lottery
"19,717.00",09/12/2010,British Equestrian Federation,Equestrian,Lottery
"191,803.00",09/12/2010,British Swimming,Swimming,Exchequer
"5,092.00",09/12/2010,British Rowing,Rowing - Adaptive,Lottery
"39,425.00",09/12/2010,British Rowing,Rowing,Lottery
"39,061.00",09/12/2010,Uk Athletics,Disability Athletics,Lottery
"181,560.00",09/12/2010,Uk Athletics,Athletics,Lottery
"21,876.00",09/12/2010,Uk Athletics,Athletics,Lottery
"100,988.00",09/12/2010,British Gymnastics,Gymnastics - Women's Artistic,Exchequer
"11,540.00",09/12/2010,Grand National Archery Society,Archery - Paralympic,Lottery
"10,903.00",09/12/2010,Great Britain Boccia,Boccia,Lottery
"17,846.00",09/12/2010,Great Britain Boccia,Boccia,Exchequer
"46,041.00",09/12/2010,British Olympic Table Tennis Federation,Table Tennis (GB),Lottery
"18,075.00",09/12/2010,Great Britain Wheelchair Basketball Association,Wheelchair Basketball,Lottery
"38,090.00",09/12/2010,Sport Taekwondo Limited,Taekwondo,Exchequer
"54,530.00",09/12/2010,Uk Athletics,Disability Athletics,Lottery
"38,851.00",09/12/2010,British Swimming,Para Swimming,Exchequer
"41,342.00",09/12/2010,British Equestrian Federation,Equestrian,Exchequer
"24,112.00",09/12/2010,British Equestrian Federation,Paralympic Equestrian,Exchequer
"134,286.00",09/12/2010,British Equestrian Federation,Equestrian,Lottery
"46,215.00",09/12/2010,Uk Athletics,Disability Athletics,Exchequer
"13,612.00",09/12/2010,British Rowing,Rowing - Adaptive,Lottery
"17,241.00",09/12/2010,Great Britain Wheelchair Basketball Association,Wheelchair Basketball,Exchequer
"167,506.00",09/12/2010,British Swimming,Swimming,Lottery
"30,330.00",09/12/2010,Royal Yachting Association,Sailing,Lottery
"12,807.00",09/12/2010,British Rowing,Rowing - Adaptive,Exchequer
"9,533.00",09/12/2010,British Equestrian Federation,Paralympic Equestrian,Lottery
"176,199.00",09/12/2010,Royal Yachting Association,Sailing,Lottery
"216,529.00",09/12/2010,British Gymnastics,Gymnastics - Women's Artistic,Lottery
"11,275.00",09/12/2010,Great Britain Boccia,Boccia,Lottery
"111,742.00",09/12/2010,Royal Yachting Association,Sailing,Exchequer
"201,010.00",09/12/2010,British Rowing,Rowing,Lottery
"35,532.00",09/12/2010,Sport Taekwondo Limited,Taekwondo,Lottery
"10,921.00",09/12/2010,Grand National Archery Society,Archery - Paralympic,Exchequer
"225,900.00",09/12/2010,British Cycling Federation,Cycling,Lottery
"16,703.00",09/12/2010,Disabled Target Shooting of Great Britain,Paralympic Shooting,Exchequer
"45,759.00",09/12/2010,Pentathlon GB,Modern Pentathlon,Lottery
"38,489.00",09/12/2010,British Canoe Union,Canoeing,Lottery
"117,579.00",09/12/2010,British Canoe Union,Canoeing,Lottery
841.00,09/12/2010,Disabled Target Shooting of Great Britain,Paralympic Shooting,Lottery
"43,574.00",09/12/2010,Pentathlon GB,Modern Pentathlon,Exchequer
"108,975.00",09/12/2010,British Canoe Union,Canoeing,Exchequer
"164,120.00",09/12/2010,British Cycling Federation,Cycling,Exchequer
"24,891.00",09/12/2010,British Cycling Federation,Cycling - Paralympic,Lottery
"3,227.00",09/12/2010,The Tennis Foundation,Disability Tennis,Lottery
"30,979.00",09/12/2010,British Cycling Federation,Cycling - Paralympic,Exchequer
"8,253.00",09/12/2010,The Tennis Foundation,Disability Tennis,Exchequer
"860,891.00",09/12/2010,English Institute of Sport Company,,Exchequer
"37,500.00",09/12/2010,British Paralympic Performance Services Ltd,,Exchequer
"154,052.00",09/12/2010,Sports Coach UK,,Exchequer
"231,703.00",09/12/2010,British Rowing,Rowing,Exchequer
"84,167.00",09/12/2010,British Gymnastics,Gymnastics - Women's Artistic,Lottery
"207,901.00",09/12/2010,Uk Athletics,Athletics,Exchequer
"55,920.00",09/12/2010,British Handball Association,Handball,Lottery
"3,435.00",09/12/2010,Royal Yachting Association,Sailing - Paralympic,Lottery
"77,553.00",09/12/2010,British Amateur Boxing Association Ltd,Boxing,Lottery
"55,511.00",09/12/2010,British Amateur Boxing Association Ltd,Boxing,Exchequer
"11,142.00",09/12/2010,Royal Yachting Association,Sailing - Paralympic,Exchequer
"33,613.00",09/12/2010,British Shooting,Target Shooting,Lottery
"40,412.00",09/12/2010,British Fencing Association,Fencing,Lottery
"35,400.00",09/12/2010,British Wrestling Association,Wrestling,Lottery
"15,987.00",09/12/2010,British Disabled Fencing Association,Disability Fencing,Lottery
"8,303.00",09/12/2010,Royal Yachting Association,Sailing - Paralympic,Lottery
"5,701.00",09/12/2010,British Table Tennis Association for the Disabled,Disability Table Tennis,Lottery
"9,100.00",09/12/2010,British Table Tennis Association for the Disabled,Disability Table Tennis,Lottery
"8,558.00",09/12/2010,Great Britain Wheelchair Basketball Association,Wheelchair Basketball,Lottery
"4,689.00",09/12/2010,British Table Tennis Association for the Disabled,Disability Table Tennis,Exchequer
"44,045.00",09/12/2010,Badminton England,Badminton,Lottery
"71,324.00",09/12/2010,Badminton England,Badminton,Exchequer
"111,169.00",09/12/2010,England Hockey,Hockey,Lottery
"94,520.00",09/12/2010,England Hockey,Hockey,Exchequer
"13,065.00",09/12/2010,Great Britain Wheelchair Rugby,Wheelchair Rugby,Lottery
"38,634.00",09/12/2010,British Triathlon Federation,Triathlon,Exchequer
"53,582.00",09/12/2010,British Volleyball Federation,Volleyball,Lottery
"49,868.00",09/12/2010,British Swimming,Diving,Lottery
"27,055.00",09/12/2010,British Swimming,Synchronised Swimming,Exchequer
"41,906.00",09/12/2010,British Swimming,Diving,Exchequer
"63,415.00",09/12/2010,British Swimming,Water Polo,Lottery
"49,832.00",09/12/2010,British Triathlon Federation,Triathlon,Lottery
"24,661.00",09/12/2010,British Swimming,Synchronised Swimming,Lottery
"33,333.00",09/12/2010,British Swimming,Swimming,Exchequer
"10,914.00",09/12/2010,British Blind Sport - Goalball,,Lottery
"18,567.00",09/12/2010,Great Britain Wheelchair Rugby,Wheelchair Rugby,Exchequer
"6,276.00",09/12/2010,World Class Lifting (Paralympic),Powerlifting,Lottery
"8,123.00",09/12/2010,World Class Lifting (Paralympic),Powerlifting,Exchequer
"36,600.00",09/12/2010,World Class Lifting,Weightlifting,Lottery
"69,931.00",09/12/2010,British Judo Association,Judo,Exchequer
"55,176.00",09/12/2010,British Judo Association,Judo,Lottery
"11,679.00",09/12/2010,British Judo Association,Judo - Visually Impaired,Exchequer
902.00,09/12/2010,British Table Tennis Association for the Disabled,Disability Table Tennis,Exchequer
"3,556.00",09/12/2010,Pentathlon GB,Modern Pentathlon,Exchequer
812.00,09/12/2010,British Wrestling Association,Wrestling,Exchequer
"1,400.00",09/12/2010,The Tennis Foundation,Disability Tennis,Exchequer
"7,938.00",09/12/2010,British Judo Association,Judo - Visually Impaired,Lottery
"1,330.00",09/12/2010,Great Britain Wheelchair Rugby,Wheelchair Rugby,Exchequer
"32,676.00",09/12/2010,Royal Yachting Association,Sailing,Exchequer
"37,535.00",09/12/2010,British Swimming,Swimming,Exchequer
"4,235.00",09/12/2010,British Judo Association,Judo,Exchequer
"1,639.00",09/12/2010,British Handball Association,Handball,Exchequer
"7,836.00",09/12/2010,England Hockey,Hockey,Exchequer
"5,588.00",09/12/2010,British Swimming,Para Swimming,Exchequer
371.00,09/12/2010,British Blind Sport - Goalball,,Exchequer
309.00,09/12/2010,British Disabled Fencing Association,Disability Fencing,Exchequer
"1,315.00",09/12/2010,Great Britain Boccia,Boccia,Exchequer
"2,137.00",09/12/2010,British Cycling Federation,Cycling - Paralympic,Exchequer
"1,215.00",09/12/2010,Grand National Archery Society,Archery - Paralympic,Exchequer
"2,037.00",09/12/2010,British Equestrian Federation,Paralympic Equestrian,Exchequer
"2,187.00",09/12/2010,British Swimming,Water Polo,Exchequer
770.00,09/12/2010,World Class Lifting,Weightlifting,Exchequer
"2,418.00",09/12/2010,British Volleyball Federation,Volleyball,Exchequer
"2,991.00",09/12/2010,British Triathlon Federation,Triathlon,Exchequer
"2,490.00",09/12/2010,Sport Taekwondo Limited,Taekwondo,Exchequer
"1,918.00",09/12/2010,British Swimming,Synchronised Swimming,Exchequer
"7,573.00",09/12/2010,British Equestrian Federation,Equestrian,Exchequer
"3,692.00",09/12/2010,British Swimming,Diving,Exchequer
"9,034.00",09/12/2010,British Canoe Union,Canoeing,Exchequer
"4,852.00",09/12/2010,British Performance Basketball Ltd,Basketball,Exchequer
"38,571.00",09/12/2010,British Rowing,Rowing,Exchequer
557.00,09/12/2010,Great Britain Wheelchair Basketball Association,Wheelchair Basketball,Exchequer
615.00,09/12/2010,World Class Lifting (Paralympic),Powerlifting,Exchequer
730.00,09/12/2010,British Judo Association,Judo - Visually Impaired,Exchequer
683.00,09/12/2010,British Olympic Table Tennis Federation,Table Tennis (GB),Exchequer
"1,426.00",09/12/2010,British Fencing Association,Fencing,Exchequer
"38,267.00",09/12/2010,British Cycling Federation,Cycling,Exchequer
"4,511.00",09/12/2010,Badminton England,Badminton,Exchequer
"1,315.00",09/12/2010,British Rowing,Rowing - Adaptive,Exchequer
"5,730.00",09/12/2010,British Gymnastics,Gymnastics - Women's Artistic,Exchequer
"1,387.00",09/12/2010,British Shooting,Target Shooting,Exchequer
887.00,09/12/2010,Royal Yachting Association,Sailing - Paralympic,Exchequer
"1,973.00",09/12/2010,Great Britain Wheelchair Basketball Association,Wheelchair Basketball,Exchequer
"37,522.00",09/12/2010,Uk Athletics,Athletics,Exchequer
"3,691.00",09/12/2010,Uk Athletics,Disability Athletics,Exchequer
"1,173.00",09/12/2010,Disabled Target Shooting of Great Britain,Paralympic Shooting,Exchequer
"5,076.00",09/12/2010,British Amateur Boxing Association Ltd,Boxing,Exchequer
"47,369.00",09/12/2010,Grand National Archery Society,Archery,Exchequer
"43,788.00",09/12/2010,Grand National Archery Society,Archery,Lottery
"3,326.00",09/12/2010,Grand National Archery Society,Archery,Exchequer
"6,261.00",09/12/2010,Disabled Target Shooting of Great Britain,Paralympic Shooting,Lottery
"12,550.00",09/12/2010,Disabled Target Shooting of Great Britain,Paralympic Shooting,Lottery
"170,000.00",09/12/2010,Sports Aid,,Exchequer
"37,307.00",09/12/2010,British Rowing,Rowing,Lottery
"11,479.00",09/12/2010,British Rowing,Rowing - Adaptive,Lottery
"4,894.00",09/12/2010,British Table Tennis Association for the Disabled,Disability Table Tennis,Lottery
"58,050.00",09/12/2010,Great Britain Wheelchair Rugby,Wheelchair Rugby,Lottery
"133,648.00",09/12/2010,British Performance Basketball Ltd,Basketball,Lottery
"29,017.00",09/12/2010,Great Britain Boccia,Boccia,Lottery
"2,025.00",11/01/2011,Sports Council for Wales,,Exchequer
"32,176.00",11/01/2011,Sports Council for Wales,,Exchequer
371.00,11/01/2011,British Blind Sport - Goalball,,Exchequer
"18,750.00",11/01/2011,British Athletes Commission,,Exchequer
"56,250.00",11/01/2011,Sport Resolutions UK,,Exchequer
"31,250.00",11/01/2011,British Orienteering Federation,,Exchequer
"250,000.00",11/01/2011,Sports Aid,,Exchequer
"25,487.00",11/01/2011,British Handball Association,Handball,Lottery
"4,580.00",11/01/2011,Royal Yachting Association,Sailing - Paralympic,Lottery
"39,061.00",11/01/2011,Uk Athletics,Disability Athletics,Lottery
"4,853.00",11/01/2011,British Performance Basketball Ltd,Basketball,Exchequer
"36,399.00",11/01/2011,British Wrestling Association,Wrestling,Lottery
"43,788.00",11/01/2011,Grand National Archery Society,Archery,Lottery
"9,327.00",11/01/2011,British Bobsleigh Ltd,Bobsleigh,Lottery
"37,522.00",11/01/2011,Uk Athletics,Athletics,Exchequer
"4,511.00",11/01/2011,Badminton England,Badminton,Exchequer
"38,268.00",11/01/2011,British Cycling Federation,Cycling,Exchequer
"3,692.00",11/01/2011,British Swimming,Diving,Exchequer
"7,573.00",11/01/2011,British Equestrian Federation,Equestrian,Exchequer
"117,580.00",11/01/2011,British Canoe Union,Canoeing,Lottery
"142,553.00",11/01/2011,British Canoe Union,Canoeing,Exchequer
"16,703.00",11/01/2011,Disabled Target Shooting of Great Britain,Paralympic Shooting,Exchequer
"37,647.00",11/01/2011,British Performance Basketball Ltd,Basketball,Lottery
"111,169.00",11/01/2011,England Hockey,Hockey,Lottery
"94,520.00",11/01/2011,England Hockey,Hockey,Exchequer
"55,510.00",11/01/2011,British Amateur Boxing Association Ltd,Boxing,Exchequer
"2,491.00",11/01/2011,Sport Taekwondo Limited,Taekwondo,Exchequer
"2,991.00",11/01/2011,British Triathlon Federation,Triathlon,Exchequer
"9,533.00",11/01/2011,British Equestrian Federation,Paralympic Equestrian,Lottery
"38,490.00",11/01/2011,British Canoe Union,Canoeing,Lottery
"8,558.00",11/01/2011,Great Britain Wheelchair Basketball Association,Wheelchair Basketball,Lottery
"100,988.00",11/01/2011,British Gymnastics,Gymnastics - Women's Artistic,Exchequer
"11,072.00",11/01/2011,Royal Yachting Association,Sailing - Paralympic,Lottery
"52,030.00",11/01/2011,Uk Athletics,Disability Athletics,Lottery
"14,854.00",11/01/2011,Royal Yachting Association,Sailing - Paralympic,Exchequer
770.00,11/01/2011,World Class Lifting,Weightlifting,Exchequer
"35,194.00",11/01/2011,British Triathlon Federation,Triathlon,Exchequer
"1,215.00",11/01/2011,Grand National Archery Society,Archery - Paralympic,Exchequer
"2,038.00",11/01/2011,British Equestrian Federation,Paralympic Equestrian,Exchequer
"3,692.00",11/01/2011,Uk Athletics,Disability Athletics,Exchequer
"1,315.00",11/01/2011,Great Britain Boccia,Boccia,Exchequer
"28,381.00",11/01/2011,Great Britain Wheelchair Rugby,Wheelchair Rugby,Lottery
"10,904.00",11/01/2011,Great Britain Boccia,Boccia,Lottery
"19,953.00",11/01/2011,Great Britain Wheelchair Basketball Association,Wheelchair Basketball,Exchequer
310.00,11/01/2011,British Disabled Fencing Association,Disability Fencing,Exchequer
730.00,11/01/2011,British Judo Association,Judo - Visually Impaired,Exchequer
616.00,11/01/2011,World Class Lifting (Paralympic),Powerlifting,Exchequer
"1,315.00",11/01/2011,British Rowing,Rowing - Adaptive,Exchequer
"5,589.00",11/01/2011,British Swimming,Para Swimming,Exchequer
"36,412.00",11/01/2011,British Fencing Association,Fencing,Lottery
"13,611.00",11/01/2011,British Rowing,Rowing - Adaptive,Lottery
"9,100.00",11/01/2011,British Table Tennis Association for the Disabled,Disability Table Tennis,Lottery
"29,017.00",11/01/2011,Great Britain Boccia,Boccia,Lottery
"15,029.00",11/01/2011,Great Britain Boccia,Boccia,Lottery
"22,641.00",11/01/2011,British Olympic Table Tennis Federation,Table Tennis (GB),Lottery
"18,727.00",11/01/2011,Uk Athletics,Athletics,Lottery
"156,932.00",11/01/2011,Royal Yachting Association,Sailing,Lottery
"4,236.00",11/01/2011,British Judo Association,Judo,Exchequer
"17,846.00",11/01/2011,Great Britain Boccia,Boccia,Exchequer
"12,566.00",11/01/2011,British Judo Association,Judo,Lottery
"19,717.00",11/01/2011,British Equestrian Federation,Equestrian,Lottery
"46,214.00",11/01/2011,Uk Athletics,Disability Athletics,Exchequer
"134,286.00",11/01/2011,British Equestrian Federation,Equestrian,Lottery
"19,143.00",11/01/2011,British Rowing,Rowing - Adaptive,Exchequer
"44,045.00",11/01/2011,Badminton England,Badminton,Lottery
"147,901.00",11/01/2011,British Cycling Federation,Cycling,Lottery
"241,061.00",11/01/2011,Uk Athletics,Athletics,Lottery
"137,323.00",11/01/2011,Badminton England,Badminton,Exchequer
557.00,11/01/2011,Great Britain Wheelchair Basketball Association,Wheelchair Basketball,Exchequer
"47,368.00",11/01/2011,Grand National Archery Society,Archery,Exchequer
"38,571.00",11/01/2011,British Rowing,Rowing,Exchequer
"37,535.00",11/01/2011,British Swimming,Swimming,Exchequer
"201,011.00",11/01/2011,British Rowing,Rowing,Lottery
"205,563.00",11/01/2011,British Rowing,Rowing,Exchequer
"8,253.00",11/01/2011,The Tennis Foundation,Disability Tennis,Exchequer
"1,331.00",11/01/2011,Great Britain Wheelchair Rugby,Wheelchair Rugby,Exchequer
"1,401.00",11/01/2011,The Tennis Foundation,Disability Tennis,Exchequer
"7,938.00",11/01/2011,British Judo Association,Judo - Visually Impaired,Lottery
"40,440.00",11/01/2011,Royal Yachting Association,Sailing,Lottery
813.00,11/01/2011,British Wrestling Association,Wrestling,Exchequer
"3,557.00",11/01/2011,Pentathlon GB,Modern Pentathlon,Exchequer
"12,000.00",11/01/2011,British Triathlon Federation,Triathlon,Lottery
"35,533.00",11/01/2011,Sport Taekwondo Limited,Taekwondo,Lottery
"45,760.00",11/01/2011,Pentathlon GB,Modern Pentathlon,Lottery
"12,272.00",11/01/2011,Sport Taekwondo Limited,Taekwondo,Exchequer
"50,983.00",11/01/2011,Pentathlon GB,Modern Pentathlon,Exchequer
"24,661.00",11/01/2011,British Swimming,Synchronised Swimming,Lottery
"49,869.00",11/01/2011,British Swimming,Diving,Lottery
"23,934.00",11/01/2011,British Swimming,Diving,Exchequer
"1,174.00",11/01/2011,British Judo Association,Judo - Visually Impaired,Exchequer
"9,135.00",11/01/2011,Disabled Target Shooting of Great Britain,Paralympic Shooting,Lottery
"13,287.00",11/01/2011,British Judo Association,Judo - Visually Impaired,Lottery
"19,345.00",11/01/2011,British Judo Association,Judo,Lottery
"33,333.00",11/01/2011,British Swimming,Swimming,Exchequer
"144,838.00",11/01/2011,British Swimming,Swimming,Lottery
"148,400.00",11/01/2011,Uk Athletics,Athletics,Exchequer
"122,000.00",11/01/2011,National Ice Skating Association,Speed Skating,Lottery
"155,655.00",11/01/2011,British Bob Skeleton Association,Skeleton,Lottery
"51,663.00",11/01/2011,British Judo Association,Judo,Exchequer
"36,601.00",11/01/2011,World Class Lifting,Weightlifting,Lottery
"5,730.00",11/01/2011,British Gymnastics,Gymnastics - Women's Artistic,Exchequer
684.00,11/01/2011,British Olympic Table Tennis Federation,Table Tennis (GB),Exchequer
"20,933.00",11/01/2011,British Equestrian Federation,Paralympic Equestrian,Exchequer
"21,126.00",11/01/2011,British Equestrian Federation,Paralympic Equestrian,Lottery
"18,567.00",11/01/2011,Great Britain Wheelchair Rugby,Wheelchair Rugby,Exchequer
"2,137.00",11/01/2011,British Cycling Federation,Cycling - Paralympic,Exchequer
"11,534.00",11/01/2011,British Disabled Fencing Association,Disability Fencing,Lottery
"1,173.00",11/01/2011,Disabled Target Shooting of Great Britain,Paralympic Shooting,Exchequer
"1,184.00",11/01/2011,Royal Yachting Association,Sailing - Paralympic,Exchequer
"9,359.00",11/01/2011,British Table Tennis Association for the Disabled,Disability Table Tennis,Exchequer
"226,987.00",11/01/2011,Royal Yachting Association,Sailing,Exchequer
"22,283.00",11/01/2011,British Cycling Federation,Cycling - Paralympic,Exchequer
"36,946.00",11/01/2011,British Shooting,Target Shooting,Lottery
"25,126.00",11/01/2011,Grand National Archery Society,Archery - Paralympic,Exchequer
"117,118.00",11/01/2011,British Cycling Federation,Cycling,Exchequer
"37,307.00",11/01/2011,British Rowing,Rowing,Lottery
"1,973.00",11/01/2011,Great Britain Wheelchair Basketball Association,Wheelchair Basketball,Exchequer
"43,570.00",11/01/2011,Royal Yachting Association,Sailing,Exchequer
"55,177.00",11/01/2011,British Judo Association,Judo,Lottery
"3,227.00",11/01/2011,The Tennis Foundation,Disability Tennis,Lottery
"5,701.00",11/01/2011,British Table Tennis Association for the Disabled,Disability Table Tennis,Lottery
"27,000.00",11/01/2011,National Ice Skating Association,Figure Skating,Lottery
"146,333.00",11/01/2011,Sports Coach UK,,Exchequer
"10,914.00",11/01/2011,British Blind Sport - Goalball,,Lottery
"37,500.00",11/01/2011,British Paralympic Performance Services Ltd,,Exchequer
"41,875.00",11/01/2011,British Water Ski Federation,,Exchequer
"3,326.00",11/01/2011,Grand National Archery Society,Archery,Exchequer
"54,132.00",11/01/2011,British Gymnastics,Gymnastics - Women's Artistic,Lottery
841.00,11/01/2011,Disabled Target Shooting of Great Britain,Paralympic Shooting,Lottery
"11,541.00",11/01/2011,Grand National Archery Society,Archery - Paralympic,Lottery
"6,631.00",11/01/2011,British Swimming,Para Swimming,Lottery
"15,825.00",11/01/2011,Disabled Target Shooting of Great Britain,Paralympic Shooting,Lottery
"1,918.00",11/01/2011,British Swimming,Synchronised Swimming,Exchequer
"5,092.00",11/01/2011,British Rowing,Rowing - Adaptive,Lottery
"39,425.00",11/01/2011,British Rowing,Rowing,Lottery
"18,076.00",11/01/2011,Great Britain Wheelchair Basketball Association,Wheelchair Basketball,Lottery
902.00,11/01/2011,British Table Tennis Association for the Disabled,Disability Table Tennis,Exchequer
"13,500.00",11/01/2011,British Swimming,Diving,Exchequer
"6,276.00",11/01/2011,World Class Lifting (Paralympic),Powerlifting,Lottery
"8,587.00",11/01/2011,British Cycling Federation,Cycling - Paralympic,Lottery
"4,894.00",11/01/2011,British Table Tennis Association for the Disabled,Disability Table Tennis,Lottery
"89,219.00",11/01/2011,British Amateur Boxing Association Ltd,Boxing,Lottery
"1,388.00",11/01/2011,British Shooting,Target Shooting,Exchequer
"1,426.00",11/01/2011,British Fencing Association,Fencing,Exchequer
"1,640.00",11/01/2011,British Handball Association,Handball,Exchequer
"16,608.00",11/01/2011,British Equestrian Federation,Equestrian,Exchequer
"5,076.00",11/01/2011,British Amateur Boxing Association Ltd,Boxing,Exchequer
"8,122.00",11/01/2011,World Class Lifting (Paralympic),Powerlifting,Exchequer
"15,634.00",11/01/2011,British Swimming,Synchronised Swimming,Exchequer
"6,261.00",11/01/2011,Disabled Target Shooting of Great Britain,Paralympic Shooting,Lottery
"6,055.00",11/01/2011,British Swimming,Synchronised Swimming,Lottery
"860,891.00",11/01/2011,English Institute of Sport Company,,Exchequer
"7,836.00",11/01/2011,England Hockey,Hockey,Exchequer
"9,035.00",11/01/2011,British Canoe Union,Canoeing,Exchequer
"31,000.00",27/01/2011,Snowsport England - DO NOT USE,Skiing,Lottery
"20,903.00",27/01/2011,Snowsport England - DO NOT USE,Snowboarding,Lottery
"6,631.00",09/02/2011,British Swimming,Para Swimming,Lottery
"17,918.00",09/02/2011,British Swimming,Para Swimming,Lottery
"21,126.00",09/02/2011,British Equestrian Federation,Paralympic Equestrian,Lottery
"19,717.00",09/02/2011,British Equestrian Federation,Equestrian,Lottery
"5,092.00",09/02/2011,British Rowing,Rowing - Adaptive,Lottery
"39,425.00",09/02/2011,British Rowing,Rowing,Lottery
"39,061.00",09/02/2011,Uk Athletics,Disability Athletics,Lottery
"319,061.00",09/02/2011,Uk Athletics,Athletics,Lottery
"18,727.00",09/02/2011,Uk Athletics,Athletics,Lottery
"100,988.00",09/02/2011,British Gymnastics,Gymnastics - Women's Artistic,Exchequer
"11,541.00",09/02/2011,Grand National Archery Society,Archery - Paralympic,Lottery
"10,904.00",09/02/2011,Great Britain Boccia,Boccia,Lottery
"17,846.00",09/02/2011,Great Britain Boccia,Boccia,Exchequer
"22,641.00",09/02/2011,British Olympic Table Tennis Federation,Table Tennis (GB),Lottery
"18,076.00",09/02/2011,Great Britain Wheelchair Basketball Association,Wheelchair Basketball,Lottery
"12,272.00",09/02/2011,Sport Taekwondo Limited,Taekwondo,Exchequer
"52,030.00",09/02/2011,Uk Athletics,Disability Athletics,Lottery
"16,608.00",09/02/2011,British Equestrian Federation,Equestrian,Exchequer
"20,933.00",09/02/2011,British Equestrian Federation,Paralympic Equestrian,Exchequer
"134,286.00",09/02/2011,British Equestrian Federation,Equestrian,Lottery
"46,214.00",09/02/2011,Uk Athletics,Disability Athletics,Exchequer
"13,611.00",09/02/2011,British Rowing,Rowing - Adaptive,Lottery
"19,953.00",09/02/2011,Great Britain Wheelchair Basketball Association,Wheelchair Basketball,Exchequer
"144,838.00",09/02/2011,British Swimming,Swimming,Lottery
"30,330.00",09/02/2011,Royal Yachting Association,Sailing,Lottery
"19,143.00",09/02/2011,British Rowing,Rowing - Adaptive,Exchequer
"9,533.00",09/02/2011,British Equestrian Federation,Paralympic Equestrian,Lottery
"176,199.00",09/02/2011,Royal Yachting Association,Sailing,Lottery
"2,261.00",09/02/2011,Great Britain Boccia,Boccia,Lottery
"64,000.00",09/02/2011,British Swimming,Swimming,Lottery
"111,740.00",09/02/2011,Royal Yachting Association,Sailing,Exchequer
"201,011.00",09/02/2011,British Rowing,Rowing,Lottery
"35,533.00",09/02/2011,Sport Taekwondo Limited,Taekwondo,Lottery
"25,126.00",09/02/2011,Grand National Archery Society,Archery - Paralympic,Exchequer
"225,901.00",09/02/2011,British Cycling Federation,Cycling,Lottery
"16,703.00",09/02/2011,Disabled Target Shooting of Great Britain,Paralympic Shooting,Exchequer
"45,760.00",09/02/2011,Pentathlon GB,Modern Pentathlon,Lottery
"38,490.00",09/02/2011,British Canoe Union,Canoeing,Lottery
"117,580.00",09/02/2011,British Canoe Union,Canoeing,Lottery
841.00,09/02/2011,Disabled Target Shooting of Great Britain,Paralympic Shooting,Lottery
"50,983.00",09/02/2011,Pentathlon GB,Modern Pentathlon,Exchequer
"142,553.00",09/02/2011,British Canoe Union,Canoeing,Exchequer
"39,118.00",09/02/2011,British Cycling Federation,Cycling,Exchequer
"8,587.00",09/02/2011,British Cycling Federation,Cycling - Paralympic,Lottery
"3,227.00",09/02/2011,The Tennis Foundation,Disability Tennis,Lottery
"22,283.00",09/02/2011,British Cycling Federation,Cycling - Paralympic,Exchequer
"8,253.00",09/02/2011,The Tennis Foundation,Disability Tennis,Exchequer
"860,891.00",09/02/2011,English Institute of Sport Company,,Exchequer
"37,500.00",09/02/2011,British Paralympic Performance Services Ltd,,Exchequer
"146,333.00",09/02/2011,Sports Coach UK,,Exchequer
"204,000.00",09/02/2011,sportscotland,,Exchequer
